"@timestamp","@version","_id","_index","_score","_type",host,level,"level_value","logger_name",message,port,"server_name","stack_trace","thread_name"
"Jul 9, 2025 @ 01:13:42.067",1,"TFAH65cB_1ZE_QuMdYOM","springboot-log-2025.07.09",,"_doc","192.168.100.1",WARN,"30,000","org.csu.healthsystem.service.UserService","用户不存在","64,935","[""demo-server"",""localhost""]",,"http-nio-8080-exec-8"
"Jul 9, 2025 @ 01:13:42.065",1,"S1AH65cB_1ZE_QuMdYOC","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.controller.UserController","登录：User(id=null, username=, password=string, realName=null, email=null, phone=null, status=null, role=null, avatar=null, deptId=null, createTime=null, updateTime=null, lastLoginTime=null, loginIp=null)","64,935","[""demo-server"",""localhost""]",,"http-nio-8080-exec-8"
"Jul 9, 2025 @ 01:13:40.151",1,"R1AH65cB_1ZE_QuMboMN","springboot-log-2025.07.09",,"_doc","192.168.100.1",WARN,"30,000","org.csu.healthsystem.service.UserService","用户不存在","64,935","[""demo-server"",""localhost""]",,"http-nio-8080-exec-5"
"Jul 9, 2025 @ 01:13:40.135",1,"RlAH65cB_1ZE_QuMbYP-","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.controller.UserController","登录：User(id=null, username=, password=string, realName=null, email=null, phone=null, status=null, role=null, avatar=null, deptId=null, createTime=null, updateTime=null, lastLoginTime=null, loginIp=null)","64,935","[""demo-server"",""localhost""]",,"http-nio-8080-exec-5"
"Jul 9, 2025 @ 01:13:37.500",1,"RVAH65cB_1ZE_QuMY4O6","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.service.MailService","验证码 021439 已发送至 3107499913@qq.com","64,935","[""demo-server"",""localhost""]",,"http-nio-8080-exec-7"
"Jul 9, 2025 @ 01:13:28.132",1,"K1AH65cB_1ZE_QuMP4Mj","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.apache.coyote.http11.Http11Processor","Error parsing HTTP request header
 Note: further occurrences of HTTP request parsing errors will be logged at DEBUG level.","64,935","[""demo-server"",""localhost""]","java.lang.IllegalArgumentException: Invalid character found in method name [0x160x030x010x000xf70x010x000x000xf30x030x030xf30xcc0xc20xfdA0xec`0x970xd0+0xd50x090x9e&0xa2'pg0xd5+0xb7e0xc9a)0xbbq0x1fyyj0xa0 ]. HTTP method names must be tokens
	at org.apache.coyote.http11.Http11InputBuffer.parseRequestLine(Http11InputBuffer.java:403)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:271)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:63)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:903)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1769)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:52)
	at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1189)
	at org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:658)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:63)
	at java.base/java.lang.Thread.run(Thread.java:842)
","http-nio-8080-exec-6"
"Jul 9, 2025 @ 01:13:02.616",1,"5lAG65cB_1ZE_QuM24Jq","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.service.MailService","从 Redis 取重设验证码，key = verify:reset:3107499913@qq.com, value = null","64,935","[""demo-server"",""localhost""]",,"http-nio-8080-exec-3"
"Jul 9, 2025 @ 01:12:54.427",1,"3lAG65cB_1ZE_QuMu4KF","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","org.csu.healthsystem.service.MailService","从 Redis 取重设验证码，key = verify:reset:3107499913@qq.com, value = null","64,935","[""demo-server"",""localhost""]",,"http-nio-8080-exec-2"
"Jul 9, 2025 @ 01:10:24.101",1,"MFAE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","com.zaxxer.hikari.HikariDataSource","HikariPool-1 - Start completed.","64,935","[""demo-server"",""localhost""]",,"RMI TCP Connection(2)-192.168.1.3"
"Jul 9, 2025 @ 01:10:24.099",1,"L1AE65cB_1ZE_QuMiYEP","springboot-log-2025.07.09",,"_doc","192.168.100.1",INFO,"20,000","com.zaxxer.hikari.pool.HikariPool","HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4dc3073b","64,935","[""demo-server"",""localhost""]",,"RMI TCP Connection(2)-192.168.1.3"
